Species,Climate,Plot,Mesocosm,Moisture,GWC,PC1_Bac_Root,PC1_Bac_Rhizo,PC1_Fun_Leaf,PC1_Fun_Root,PC1_Fun_Rhizo,PC2_Bac_Root,PC2_Bac_Rhizo,PC2_Fun_Leaf,PC2_Fun_Root,PC2_Fun_Rhizo
Lolium,Future,A,8,400,7.1942959,0.034329889,0.29919168,-0.451775958,-0.185071488,-0.27708184,-0.331763172,0.055218013,-0.053740262,0.473613172,0.311209933
Lolium,Future,A,10,1300,10.04681671,0.192230323,0.389888903,-0.441457933,-0.10168582,-0.241460011,-0.104113836,0.059622846,-0.008114248,0.356394774,0.205016246
Lolium,Future,A,12,1000,8.557844691,-0.070428571,-0.097959013,-0.436886679,-0.10414462,-0.197311242,0.125839155,-0.023661879,-0.016296316,0.231792509,0.210020118
Lolium,Current,B,14,700,8.956181566,-0.349407027,-0.258105017,-0.420604867,-0.391766366,-0.403089388,-0.47988506,-0.147729768,-0.018375898,-0.031743087,0.016316014
Lolium,Current,B,16,1600,11.26601723,-0.011489177,-0.042783857,0.23759301,-0.120087649,-0.120143192,0.230671329,0.635842139,0.757402724,0.225910395,-0.025081501
Lolium,Current,B,18,0,10.63711655,0.17251763,0.062270516,-0.27693046,-0.188080982,-0.315946502,0.302668655,-0.018399486,-0.021131351,-0.200355595,0.024990138
Lolium,Current,B,19,400,8.414476414,-0.168348097,-0.001237893,-0.249880642,-0.327523528,-0.312292872,0.260774948,0.550227966,0.058564582,0.056231872,0.146664792
Lolium,Current,B,21,1300,11.25777605,0.418874069,0.250709777,-0.448967987,0.096245227,-0.322985175,-0.114149152,-0.136469125,-0.041918576,0.591898622,-0.085349196
Lolium,Current,B,23,1000,9.438405416,-0.326062609,-0.15995414,0.21741331,-0.285378862,-0.115044983,0.584234041,0.742947206,0.853682697,0.002860523,0.114194622
Lolium,Future,C,26,900,9.317005933,0.062994822,-0.141675495,0.230007364,-0.352583116,-0.348637351,-0.289368376,-0.278161491,0.839082433,-0.145837947,-0.181384585
Lolium,Future,C,28,1200,11.69067475,0.086647425,0.232651751,-0.428243533,0.122048816,-0.261716374,0.011812494,-0.048976733,-0.004376397,-0.105936127,-0.12381887
Lolium,Future,C,30,1500,11.4048657,0.453669206,0.319685403,-0.397583818,-0.094048901,-0.066161135,0.010949934,-0.085051144,-0.044026245,-0.208363451,-0.288576905
Lolium,Future,C,31,0,7.638292309,0.458684905,0.043816089,-0.435509142,-0.468967669,-0.340158687,-0.408080611,-0.127124025,-0.02607604,-0.035190395,-0.217930157
Lolium,Future,C,33,300,8.430723502,-0.591765978,-0.563124033,-0.367181496,0.064538315,-0.282305444,-0.711397356,-0.199716091,-0.038038778,-0.017031525,-0.21742053
Lolium,Future,C,35,600,10.05391196,-0.627807424,-0.573251566,0.173257275,-0.177348805,-0.175187577,-0.632172457,-0.224566,0.081660712,0.056724257,-0.042173257
Lolium,Current,D,37,900,8.583899127,0.148860831,-0.059379837,-0.150452166,-0.281291762,-0.150139099,0.193665582,0.207163562,0.024508065,-0.144978508,0.022158007
Lolium,Current,D,39,1200,8.280185534,0.162351139,0.282473503,-0.447898315,-0.244405492,-0.073113803,0.066281386,0.075776576,-0.035700959,-0.090048008,-0.141322559
Lolium,Current,D,41,1500,11.75979304,0.286132205,0.261143597,-0.431856766,-0.312468197,-0.118453015,-0.034417395,0.112604252,-0.022363312,-0.133339581,0.067850423
Lolium,Current,D,44,0,7.174925175,-0.336485711,-0.136846237,-0.337526716,-0.200705635,-0.232609307,0.537197646,0.69253385,-0.003163716,-0.01696578,0.226599684
Lolium,Current,D,46,300,20.60101642,0.421453989,0.468878604,-0.418648661,-0.170653189,0.076178909,-0.469017513,-0.165539232,-0.005420121,0.118656163,-0.087404884
Lolium,Current,D,48,600,11.55219601,0.405937054,0.134800292,-0.365961083,-0.289334086,0.02278617,-0.334014261,-0.229481407,0.012445764,0.458805167,0.328544703
